Fe,Si,B,P,Cu,V,Nb,Annealing temperature (K),Annealing Time (s),Longitudinal Annealing field,Transverse Annealing field,Ribbon Thickness (um),Total SiCAl,Total BP,Total Late Transition,Total Early Transition,Relative to Fe SiCAl,Relative to Fe BP,Relative to Fe Early,Relative to Fe Late,Relative to Late Early,Relative to Early SiCAl,Relative to Late SiCAl,Relative to Early BP,Relative to Late BP,Late Weighted Volume,Late Weighted Area,Late Weighted Mass,Late Mean Electrons,Early Weighted Volume,Early Weighted Area,Early Weighted Mass,Early Mean Electrons,Core Loss,Composition ID,Reference DOI
73.5,13.5,9,0,1,0,3,823,3600,1,0,18,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,750,1100100011,10.1109/20.42291
73.5,13.5,9,0,1,0,3,823,3600,0,1,18,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,246.85,1100100011,10.1109/20.42291
73.5,13.5,9,0,1,0,3,823,3600,0,0,18,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,246.85,1100100011,10.1109/20.42291
73.5,13.5,9,0,1,0,3,823,3600,1,0,22.7013,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,1031.8383,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,1,0,18.1493,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,937.6053,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,1,0,17.1677,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,807.2429,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,1,0,13.3961,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,656.1743,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,1,0,10.9969,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,596.9675,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,1,0,7.2758,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,522.8373,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,0,1,22.7095,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,480.4297,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,0,0,22.6332,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,419.669,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,0,0,18.1052,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,372.5629,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,0,1,18.1277,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,339.4058,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,0,0,17.051,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,332.9359,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,0,1,17.0734,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,301.895,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,0,0,13.4517,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,283.5699,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,0,0,10.9317,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,277.94,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,0,0,7.3592,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,264.7526,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,0,1,13.4466,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,224.6179,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,0,1,11.023,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,204.3477,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,823,3600,0,1,7.229,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,182.333,1100100011,10.1109/TJMJ.1990.4564397
73.5,13.5,9,0,1,0,3,790,60,0,0,,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,2885,1100100011,https://doi.org/10.1051/jp4:1998268
73.5,13.5,9,0,1,0,3,790,3600,0,0,,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,1057,1100100011,https://doi.org/10.1051/jp4:1998268
73.5,13.5,9,0,1,0,3,790,900,0,0,,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,1037,1100100011,https://doi.org/10.1051/jp4:1998268
73.5,13.5,9,0,1,0,3,790,300,0,0,,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,990,1100100011,https://doi.org/10.1051/jp4:1998268
