Fe,Si,C,Al,B,P,Ga,Ge,Cu,Ag,Au,Zn,Ti,V,Cr,Mn,Zr,Nb,Mo,Hf,Ta,W,Ce,Pr,Nd,Gd,U,Annealing temperature,Annealing time,Primary Crystallization Onset,Primary Crystallization Peak ,Secondary Crystallization, Longitudinal Annealing field, Transverse Annealing field,Ribbon thickness,Coercivity,Curie Temperature,core loss ,electrical resistivity,Grain Diameter,Permeability,Magnetostriction,Magnetic Saturation,BCC Lattice Parameter,Reference DOI
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,793,3600,,,,0,0,23,,,,,,,8.67E+00,,,10.4028/www.scientific.net/JMNM.1.135
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,803,3600,,,,0,0,23,,,,,,,6.44E+00,,,10.4028/www.scientific.net/JMNM.1.135
74.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,753,3600,,,,0,0,23,,,,,,,3.12E+01,,,10.4028/www.scientific.net/JMNM.1.135
74.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,773,3600,,,,0,0,23,,,,,,,1.28E+01,,,10.4028/www.scientific.net/JMNM.1.135
74.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,793,3600,,,,0,0,23,,,,,,,7.75E+00,,,10.4028/www.scientific.net/JMNM.1.135
74.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,803,3600,,,,0,0,23,,,,,,,4.06E+00,,,10.4028/www.scientific.net/JMNM.1.135
75.5,10.5,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,773,3600,,,,0,0,23,,,,,,,5.468037108,,,10.4028/www.scientific.net/JMNM.1.135
73.5,14.5,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,773,3600,,,,0,0,23,,,,,,,0.610792862,,,10.4028/www.scientific.net/JMNM.1.135
73.5,15.5,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,773,3600,,,,0,0,23,,,,,,,-0.246273953,,,10.4028/www.scientific.net/JMNM.1.135
72.5,16.5,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,773,3600,,,,0,0,23,,,,,,,-0.60184528,,,10.4028/www.scientific.net/JMNM.1.135
73.5,17.5,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,773,3600,,,,0,0,23,,,,,,,-1.859931055,,,10.4028/www.scientific.net/JMNM.1.135
72.5,18.5,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,773,3600,,,,0,0,23,,,,,,,-2.498529859,,,10.4028/www.scientific.net/JMNM.1.135
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,773,3600,,,,0,0,30,,,,,,,1.82E+01,1.2757,,10.1109/20.825825
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,793,3600,,,,0,0,30,,,,,,,8.93E+00,1.2837,,10.1109/20.825825
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,803,3600,,,,0,0,30,,,,,,,1.0927,1.1988,,10.1109/20.825825
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,573.5485671,3600,,,,0,0,21,,,,,,,26.8154547,,,10.1016/S0921-5093(97)80078-0
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,624.1604661,3600,,,,0,0,21,,,,,,,24.74472382,,,10.1016/S0921-5093(97)80078-0
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,673.4110315,3600,,,,0,0,21,,,,,,,24.91862727,,,10.1016/S0921-5093(97)80078-0
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,693.5177782,3600,,,,0,0,21,,,,,,,24.15221698,,,10.1016/S0921-5093(97)80078-0
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,713.6307901,3600,,,,0,0,21,,,,,,,23.9277446,,,10.1016/S0921-5093(97)80078-0
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,723.7101192,3600,,,,0,0,21,,,,,,,25.78971079,,,10.1016/S0921-5093(97)80078-0
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,732.7292906,3600,,,,0,0,21,,,,,,,25.94804079,,,10.1016/S0921-5093(97)80078-0
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,743.1218786,3600,,,,0,0,21,,,,,,,24.90690244,,,10.1016/S0921-5093(97)80078-0
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,753.492986,3600,,,,0,0,21,,,,,,,22.00769125,,,10.1016/S0921-5093(97)80078-0
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,762.8204937,3600,,,,0,0,21,,,,,,,18.83710835,,,10.1016/S0921-5093(97)80078-0
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,772.8027125,3600,,,,0,0,21,,,,,,,12.29903695,,,10.1016/S0921-5093(97)80078-0
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,792.8575477,3600,,,,0,0,21,,,,,,,7.042283986,,,10.1016/S0921-5093(97)80078-0
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,792.5120679,3600,,,,0,0,21,,,,,,,7.158279284,,,10.1016/S0921-5093(97)80078-0
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,822.9849994,3600,,,,0,0,21,,,,,,,3.066849451,,,10.1016/S0921-5093(97)80078-0
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,873.6107713,3600,,,,0,0,21,,,,,,,2.196123943,,,10.1016/S0921-5093(97)80078-0
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,823,1783.864091,,,,0,0,21,,,,,,,3.423397652,,,10.1016/S0921-5093(97)80078-0
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,823,3565.144371,,,,0,0,21,,,,,,,3.118415508,,,10.1016/S0921-5093(97)80078-0
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,823,10699.05045,,,,0,0,21,,,,,,,2.46061993,,,10.1016/S0921-5093(97)80078-0
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,823,17893.9345,,,,0,0,21,,,,,,,2.133260125,,,10.1016/S0921-5093(97)80078-0
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,823,50377.62418,,,,0,0,21,,,,,,,2.131260747,,,10.1016/S0921-5093(97)80078-0
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,813,3600,,,,0,0,19,,,,,,,2.00E+00,1.22,,doi:10.1016/j.jmmm.2010.05.025
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,1.5,1.5,0,0,0,0,0,0,0,0,813,3600,,,,0,0,19,,,,,,,1.80E+00,1.21,,doi:10.1016/j.jmmm.2010.05.025
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,813,3600,,,,0,0,19,,,,,,,2.60E+00,1.21,,doi:10.1016/j.jmmm.2010.05.025
73.5,13.6,0,0,9.1,0,0,0,0.8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,813,3600,,,,0,0,19,,,,,,,1.80E+00,1.24,,doi:10.1016/j.jmmm.2010.05.025
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,373.8963532,3600,,,,0,0,20,,,,,,,23.87917605,,,https://doi.org/10.1016/S0304-8853(00)00297-3
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,572.7447217,3600,,,,0,0,20,,,,,,,23.64613758,,,https://doi.org/10.1016/S0304-8853(00)00297-3
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,592.8982726,3600,,,,0,0,20,,,,,,,24.0467746,,,https://doi.org/10.1016/S0304-8853(00)00297-3
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,623.1285988,3600,,,,0,0,20,,,,,,,25.06439678,,,https://doi.org/10.1016/S0304-8853(00)00297-3
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,643.2821497,3600,,,,0,0,20,,,,,,,26.91430916,,,https://doi.org/10.1016/S0304-8853(00)00297-3
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,653.3589251,3600,,,,0,0,20,,,,,,,26.84288854,,,https://doi.org/10.1016/S0304-8853(00)00297-3
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,663.4357006,3600,,,,0,0,20,,,,,,,26.88016357,,,https://doi.org/10.1016/S0304-8853(00)00297-3
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,672.840691,3600,,,,0,0,20,,,,,,,25.79418064,,,https://doi.org/10.1016/S0304-8853(00)00297-3
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,703.0710173,3600,,,,0,0,20,,,,,,,23.73209269,,,https://doi.org/10.1016/S0304-8853(00)00297-3
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,723.8963532,3600,,,,0,0,20,,,,,,,23.33569779,,,https://doi.org/10.1016/S0304-8853(00)00297-3
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,733.3013436,3600,,,,0,0,20,,,,,,,24.71348299,,,https://doi.org/10.1016/S0304-8853(00)00297-3
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,742.706334,3600,,,,0,0,20,,,,,,,23.59126819,,,https://doi.org/10.1016/S0304-8853(00)00297-3
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,773.6084453,3600,,,,0,0,20,,,,,,,8.558235278,,,https://doi.org/10.1016/S0304-8853(00)00297-3
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,823.9923225,3600,,,,0,0,20,,,,,,,1.679393029,,,https://doi.org/10.1016/S0304-8853(00)00297-3
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,873.7044146,3600,,,,0,0,20,,,,,,,3.423669643,,,https://doi.org/10.1016/S0304-8853(00)00297-3
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,973.1285988,3600,,,,0,0,20,,,,,,,4.303527219,,,https://doi.org/10.1016/S0304-8853(00)00297-3
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1023.512476,3600,,,,0,0,20,,,,,,,4.344974825,,,https://doi.org/10.1016/S0304-8853(00)00297-3
73.5,16,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,728,3600,,,,0,0,20,,,,1.84E+00,,,2.05E+00,,,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,743,3600,,,,0,0,20,,,,,12,,4.40E+00,,,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,773,3600,,,,0,0,20,,,,1.96E+00,11,,1.68E+00,,,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,798,3600,,,,0,0,20,,,,1.72E+00,12,,1.01E+00,,,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,823,3600,,,,0,0,20,,,,1.72E+00,11,,4.80E-01,,,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,848,3600,,,,0,0,20,,,,1.76E+00,12,,-3.60E-01,,,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,873,3600,,,,0,0,20,,,,1.48E+00,11,,,,,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,903,3600,,,,0,0,20,,,,1.56E+00,16,,-4.40E-01,,,https://doi.org/10.1016/S0921-4526(01)00468-9
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,763,3600,,,,0,0,17.5,1.5,,1231,,,1.00E+04,,1.28,,10.1063/1.342149
74,13.5,0,0,9,0,0,0,0.5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,843,3600,,,,0,0,17.5,0.9788,,305.57,,,5.32E+04,,1.2553,,10.1063/1.342149
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,853,3600,,,,0,0,17.5,0.5551,843,280,,,1.00E+05,,1.2401,,10.1063/1.342149
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,723.018904,3600,,,,0,0,17.5,,,,,,,20.23809524,,,10.1063/1.342149
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,741.5357741,3600,,,,0,0,17.5,,,,,,,18.52380952,,,10.1063/1.342149
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,772.6714525,3600,,,,0,0,17.5,,,,,,,3.857142857,,,10.1063/1.342149
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,823.6104331,3600,,,,0,0,17.5,,,,,,,2.80952381,,,10.1063/1.342149
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,842.4441254,3600,,,,0,0,17.5,,,,,,,2.111111111,,,10.1063/1.342149
73,13.5,0,0,9,0,0,0,1.5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,833,3600,,,,0,0,17.5,0.6899,,314.68,,,1.03E+05,,1.225,,10.1063/1.342149
73.5,16.5,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,853,3600,,,,0,0,17.5,1.1,833,280,,,75000,,1.18,,10.1063/1.342149
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,813.15,3600,,,,0,0,20,0.81823,,,,11.2085,82094.7301,,,,10.1109/20.104389
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1173.15,3600,,,,0,0,20,1753.81,,,,297.7811,83.1958,,,,10.1109/20.104389
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,973.15,3600,,,,0,0,20,3316.29,,,,160.2419,59.5775,,,,10.1109/20.104389
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,813.15,3600,,,,0,0,20,1144.05,,,,53.2477,108.1876,,,,10.1109/20.104389
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,853.15,3600,,,,0,0,20,232.79,,,,29.58,347.8054,,,,10.1109/20.104389
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,803.15,3600,,,,0,0,20,93.29,,,,25.1013,633.7115,,,,10.1109/20.104389
73.5,16.5,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,813.15,3600,,,,0,0,20,2.04,,,,14.0829,27609.4837,,,,10.1109/20.104389
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,753.7266,3600,,,,0,0,20,2.21,,,,,5350.203,,,,10.1109/20.104389
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,773.15,3600,,,,0,0,20,0.68783,,,,,20696.43,,,,10.1109/20.104389
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,793.7873,3600,,,,0,0,20,0.5666,,,,,75731.34,,,,10.1109/20.104389
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,813.2107,3600,,,,0,0,20,0.87656,,,,,75731.34,,,,10.1109/20.104389
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,833.241,3600,,,,0,0,20,1.19,,,,,81558.42,,,,10.1109/20.104389
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,844.1667,3600,,,,0,0,20,3.52,,,,,27328.75,,,,10.1109/20.104389
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,863.5901,3600,,,,0,0,20,74.41,,,,,4445.159,,,,10.1109/20.104389
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,881.7995,3600,,,,0,0,20,1160.25,,,,,709.752,,,,10.1109/20.104389
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,903.6508,3600,,,,0,0,20,3062.53,,,,,,,,,10.1109/20.104389
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,933.9998,3600,,,,0,0,20,3049.25,,,,,,,,,10.1109/20.104389
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,973.4535,3600,,,,0,0,20,2918.47,,,,,,,,,10.1109/20.104389
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1072.391,3600,,,,0,0,20,2079.89,,,,,,,,,10.1109/20.104389
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1173.757,3600,,,,0,0,20,1599.35,,,,,,,,,10.1109/20.104389
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,772.543,3600,,,,0,0,20,1.66,,,,,8346.976,,,,10.1109/20.104389
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,795.0013,3600,,,,0,0,20,1.78,,,,,5979.432,,,,10.1109/20.104389
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,802.2851,3600,,,,0,0,20,98.07,,,,,600.7199,,,,10.1109/20.104389
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,812.6037,3600,,,,0,0,20,1149.65,,,,,107.1966,,,,10.1109/20.104389
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,823.5294,3600,,,,0,0,20,1363.05,,,,,40.1441,,,,10.1109/20.104389
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,832.6341,3600,,,,0,0,20,1062.07,,,,,41.6599,,,,10.1109/20.104389
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,842.9527,3600,,,,0,0,20,586.76,,,,,68.7103,,,,10.1109/20.104389
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,853.2714,3600,,,,0,0,20,330.42,,,,,338.2011,,,,10.1109/20.104389
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,852.6644,3600,,,,0,0,20,229.91,,,,,646.9418,,,,10.1109/20.104389
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,883.0134,3600,,,,0,0,20,59.01,,,,,537.5047,,,,10.1109/20.104389
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,903.6508,3600,,,,0,0,20,96.66,,,,,,,,,10.1109/20.104389
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,933.3928,3600,,,,0,0,20,339.36,,,,,,,,,10.1109/20.104389
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,972.8465,3600,,,,0,0,20,513.6,,,,,,,,,10.1109/20.104389
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1072.391,3600,,,,0,0,20,932.79,,,,,,,,,10.1109/20.104389
74.5,13.5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1172.543,3600,,,,0,0,20,1178.54,,,,,,,,,10.1109/20.104389
76.5,13.5,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727.2123,3600,,,,0,0,,63.701,,,,,,,,,10.2320/matertrans1989.30.947
76.5,13.5,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777.6741,3600,,,,0,0,,3233.7136,,,,,,,,,10.2320/matertrans1989.30.947
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,726.3937,3600,,,,0,0,,9.9487,,,,,,,,,10.2320/matertrans1989.30.947
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,775.2444,3600,,,,0,0,,13.0548,,,,,,,,,10.2320/matertrans1989.30.947
