Fe,Si,C,Al,B,P,Ga,Ge,Cu,Ag,Au,Zn,Ti,V,Cr,Zr,Nb,Mo,Hf,Ta,W,Ce,U,Annealing temperature (K),Annealing Time (s),Primary Crystallization Onset (K),Primary Crystallization Peak (K),Secondary Crystallization Peak (K),Longitudinal Annealing field,Transverse Annealing field,Ribbon Thickness (um),Total SiCAl,Total BP,Total GaGe,Total Late Transition,Total Early Transition,Relative to Fe SiCAl,Relative to Fe BP,Relative to Fe GaGe,Relative to Fe Early,Relative to Fe Late,Relative to Late Early,Relative to Early SiCAl,Relative to Late SiCAl,Relative to Early BP,Relative to Late BP,Relative to Early GaGe,Relative to Late GaGe,Late Weighted Volume,Late Weighted Area,Late Weighted Mass,Late Mean Electrons,Early Weighted Volume,Early Weighted Area,Early Weighted Mass,Early Mean Electrons,Delta T0,Delta T1,Delta T2,Coercivity,Composition ID,Reference DOI
71.5,9.5,0,1,9,0,0,5,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,813,3600,,,,0,0,25,10.5,9,5,1,3,0.146853147,0.125874126,0.06993007,0.041958042,0.013986014,3,3.5,10.5,3,9,1.666666667,5,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.030834324,1101100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
71.5,9.5,0,1,9,0,0,5,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,873,3600,,,,0,0,25,10.5,9,5,1,3,0.146853147,0.125874126,0.06993007,0.041958042,0.013986014,3,3.5,10.5,3,9,1.666666667,5,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,0.980647446,1101100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
71.5,9.5,0,1,9,0,0,5,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,773,3600,,,,0,0,25,10.5,9,5,1,3,0.146853147,0.125874126,0.06993007,0.041958042,0.013986014,3,3.5,10.5,3,9,1.666666667,5,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,0.94431408,1101100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
73.5,13.5,0,0,7,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,728,3600,,,,0,0,25,13.5,7,2,1,3,0.183673469,0.095238095,0.027210884,0.040816327,0.013605442,3,4.5,13.5,2.333333333,7,0.666666667,2,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,0.924470046,1100100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
71.5,7.5,0,2,9,0,0,6,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,813,3600,,,,0,0,25,9.5,9,6,1,3,0.132867133,0.125874126,0.083916084,0.041958042,0.013986014,3,3.166666667,9.5,3,9,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,0.899700469,1101100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
71.5,9.5,0,2,9,0,0,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,773,3600,,,,0,0,25,11.5,9,4,1,3,0.160839161,0.125874126,0.055944056,0.041958042,0.013986014,3,3.833333333,11.5,3,9,1.333333333,4,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,0.84950239,1101100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
72.5,13.5,0,0,9,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,728,3600,,,,0,0,25,13.5,9,1,1,3,0.186206897,0.124137931,0.013793103,0.04137931,0.013793103,3,4.5,13.5,3,9,0.333333333,1,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,0.724293492,1100100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,728,3600,,,,0,0,25,13.5,9,0,1,3,0.183673469,0.12244898,0,0.040816327,0.013605442,3,4.5,13.5,3,9,0,0,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,0.659365499,1100100011,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
71.5,9.5,0,2,9,0,0,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,813,3600,,,,0,0,25,11.5,9,4,1,3,0.160839161,0.125874126,0.055944056,0.041958042,0.013986014,3,3.833333333,11.5,3,9,1.333333333,4,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,0.530088776,1101100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,813,3600,,,,0,0,25,13.5,9,0,1,3,0.183673469,0.12244898,0,0.040816327,0.013605442,3,4.5,13.5,3,9,0,0,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,0.454348123,1100100011,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,833,3600,,,,0,0,25,13.5,9,0,1,3,0.183673469,0.12244898,0,0.040816327,0.013605442,3,4.5,13.5,3,9,0,0,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,0.444236642,1100100011,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
73.5,13.5,0,0,7,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,813,3600,,,,0,0,25,13.5,7,2,1,3,0.183673469,0.095238095,0.027210884,0.040816327,0.013605442,3,4.5,13.5,2.333333333,7,0.666666667,2,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,0.355967606,1100100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
72.5,13.5,0,0,9,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,813,3600,,,,0,0,25,13.5,9,1,1,3,0.186206897,0.124137931,0.013793103,0.04137931,0.013793103,3,4.5,13.5,3,9,0.333333333,1,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,0.324078043,1100100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
73.5,13.5,0,0,7,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,833,3600,,,,0,0,25,13.5,7,2,1,3,0.183673469,0.095238095,0.027210884,0.040816327,0.013605442,3,4.5,13.5,2.333333333,7,0.666666667,2,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,0.226014404,1100100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
72.5,13.5,0,0,9,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,773,3600,,,,0,0,25,13.5,9,1,1,3,0.186206897,0.124137931,0.013793103,0.04137931,0.013793103,3,4.5,13.5,3,9,0.333333333,1,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,0.18945603,1100100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
73.5,13.5,0,0,7,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,773,3600,,,,0,0,25,13.5,7,2,1,3,0.183673469,0.095238095,0.027210884,0.040816327,0.013605442,3,4.5,13.5,2.333333333,7,0.666666667,2,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,0.179081989,1100100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,773,3600,,,,0,0,25,13.5,9,0,1,3,0.183673469,0.12244898,0,0.040816327,0.013605442,3,4.5,13.5,3,9,0,0,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,0.163038826,1100100011,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
72.5,13.5,0,0,9,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,833,3600,,,,0,0,25,13.5,9,1,1,3,0.186206897,0.124137931,0.013793103,0.04137931,0.013793103,3,4.5,13.5,3,9,0.333333333,1,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,0.131136345,1100100111,10.1002/1521-396X(200202)189:3<877::AID-PSSA877>3.0.CO;2-G
73,11,0,0,9,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,873,3600,,785,965,0,0,25,11,9,4,0,3,0.150684932,0.123287671,0.054794521,0.04109589,0,,3.666666667,,3,,1.333333333,,0,0,0,0,52.13963205,13.95656817,92.90637,5,,88,-92,27.01443091,1100101001,10.1016/0921-5093(94)90259-3
73,11,0,0,9,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,723,3600,,785,965,0,0,25,11,9,4,0,3,0.150684932,0.123287671,0.054794521,0.04109589,0,,3.666666667,,3,,1.333333333,,0,0,0,0,52.13963205,13.95656817,92.90637,5,,-62,-242,4.511745962,1100101001,10.1016/0921-5093(94)90259-3
73,11,0,0,9,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,748,3600,,785,965,0,0,25,11,9,4,0,3,0.150684932,0.123287671,0.054794521,0.04109589,0,,3.666666667,,3,,1.333333333,,0,0,0,0,52.13963205,13.95656817,92.90637,5,,-37,-217,2.148175488,1100101001,10.1016/0921-5093(94)90259-3
73,11,0,0,9,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,848,3600,,785,965,0,0,25,11,9,4,0,3,0.150684932,0.123287671,0.054794521,0.04109589,0,,3.666666667,,3,,1.333333333,,0,0,0,0,52.13963205,13.95656817,92.90637,5,,63,-117,1.765069051,1100101001,10.1016/0921-5093(94)90259-3
73,11,0,0,9,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,823,3600,,785,965,0,0,25,11,9,4,0,3,0.150684932,0.123287671,0.054794521,0.04109589,0,,3.666666667,,3,,1.333333333,,0,0,0,0,52.13963205,13.95656817,92.90637,5,,38,-142,1.450285962,1100101001,10.1016/0921-5093(94)90259-3
73,11,0,0,9,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,798,3600,,785,965,0,0,25,11,9,4,0,3,0.150684932,0.123287671,0.054794521,0.04109589,0,,3.666666667,,3,,1.333333333,,0,0,0,0,52.13963205,13.95656817,92.90637,5,,13,-167,1.045378462,1100101001,10.1016/0921-5093(94)90259-3
73,11,0,0,9,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,773,3600,,785,965,0,0,25,11,9,4,0,3,0.150684932,0.123287671,0.054794521,0.04109589,0,,3.666666667,,3,,1.333333333,,0,0,0,0,52.13963205,13.95656817,92.90637,5,,-12,-192,1.034032554,1100101001,10.1016/0921-5093(94)90259-3
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,813,1800,,,,0,0,20,13.5,9,0,1,3,0.183673469,0.12244898,0,0.040816327,0.013605442,3,4.5,13.5,3,9,0,0,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.196052632,1100100011,10.1016/j.jallcom.2006.12.133
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,833,1800,,,,0,0,20,13.5,9,0,1,3,0.183673469,0.12244898,0,0.040816327,0.013605442,3,4.5,13.5,3,9,0,0,20.47747469,7.484870061,63.546,2,45.9551509,12.7742969,78.9181,5,,,,0.9,1100100011,10.1016/j.jallcom.2006.12.133
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,833,1800,,,,0,0,20,13.5,9,0,1,3,0.183673469,0.12244898,0,0.040816327,0.013605442,3,4.5,13.5,3,9,0,0,20.47747469,7.484870061,63.546,2,39.77066975,11.59202563,64.9298,5,,,,0.544736842,1100100011,10.1016/j.jallcom.2006.12.133
73.5,13.5,0,0,9,0,0,0,1,0,0,0,0,1.5,0,0,1.5,0,0,0,0,0,0,833,1800,,,,0,0,20,13.5,9,0,1,3,0.183673469,0.12244898,0,0.040816327,0.013605442,3,4.5,13.5,3,9,0,0,20.47747469,7.484870061,63.546,2,42.86291032,12.18316127,71.923935,5,,,,0.788157895,1100100011,10.1016/j.jallcom.2006.12.133
73.5,15.5,0,0,7,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,823,3600,,,,0,1,22,15.5,7,0,1,3,0.210884354,0.095238095,0,0.040816327,0.013605442,3,5.166666667,15.5,2.333333333,7,0,0,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,0.75,1100100011,10.1016/j.pnsc.2017.09.002
73.5,15.5,0,0,7,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,823,3600,,,,0,1,18,15.5,7,0,1,3,0.210884354,0.095238095,0,0.040816327,0.013605442,3,5.166666667,15.5,2.333333333,7,0,0,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,0.72,1100100011,10.1016/j.pnsc.2017.09.002
73.5,15.5,0,0,7,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,823,3600,,,,0,1,14,15.5,7,0,1,3,0.210884354,0.095238095,0,0.040816327,0.013605442,3,5.166666667,15.5,2.333333333,7,0,0,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,0.65,1100100011,10.1016/j.pnsc.2017.09.002
75.3,13,0,0,9,0,0,0,1,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,923,3600,,725,845,0,0,25,13,9,0,1,1.7,0.172642762,0.119521912,0,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,0,0,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,198,78,1550.98549,1100100011,10.1016/S0304-8853(01)00349-3
75.3,13,0,0,9,0,0,0,1,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,848,3600,,725,845,0,0,25,13,9,0,1,1.7,0.172642762,0.119521912,0,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,0,0,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,123,3,14.18840908,1100100011,10.1016/S0304-8853(01)00349-3
75.3,13,0,0,9,0,0,0,1,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,598,3600,,725,845,0,0,25,13,9,0,1,1.7,0.172642762,0.119521912,0,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,0,0,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,-127,-247,7.13824024,1100100011,10.1016/S0304-8853(01)00349-3
75.3,13,0,0,9,0,0,0,1,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,873,3600,,725,845,0,0,25,13,9,0,1,1.7,0.172642762,0.119521912,0,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,0,0,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,148,28,7.003318332,1100100011,10.1016/S0304-8853(01)00349-3
75.3,13,0,0,9,0,0,0,1,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,499,3600,,725,845,0,0,25,13,9,0,1,1.7,0.172642762,0.119521912,0,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,0,0,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,-226,-346,5.570014857,1100100011,10.1016/S0304-8853(01)00349-3
75.3,13,0,0,9,0,0,0,1,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,548,3600,,725,845,0,0,25,13,9,0,1,1.7,0.172642762,0.119521912,0,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,0,0,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,-177,-297,5.570014857,1100100011,10.1016/S0304-8853(01)00349-3
75.3,13,0,0,9,0,0,0,1,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,423,3600,,725,845,0,0,25,13,9,0,1,1.7,0.172642762,0.119521912,0,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,0,0,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,-302,-422,4.873548629,1100100011,10.1016/S0304-8853(01)00349-3
75.3,13,0,0,9,0,0,0,1,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,448,3600,,725,845,0,0,25,13,9,0,1,1.7,0.172642762,0.119521912,0,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,0,0,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,-277,-397,4.873548629,1100100011,10.1016/S0304-8853(01)00349-3
75.3,13,0,0,9,0,0,0,1,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,648,3600,,725,845,0,0,25,13,9,0,1,1.7,0.172642762,0.119521912,0,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,0,0,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,-77,-197,4.7814323,1100100011,10.1016/S0304-8853(01)00349-3
75.3,13,0,0,9,0,0,0,1,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,698,3600,,725,845,0,0,25,13,9,0,1,1.7,0.172642762,0.119521912,0,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,0,0,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,-27,-147,4.7814323,1100100011,10.1016/S0304-8853(01)00349-3
75.3,13,0,0,9,0,0,0,1,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,773,3600,,725,845,0,0,25,13,9,0,1,1.7,0.172642762,0.119521912,0,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,0,0,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,48,-72,4.7814323,1100100011,10.1016/S0304-8853(01)00349-3
75.3,13,0,0,9,0,0,0,1,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,523,3600,,725,845,0,0,25,13,9,0,1,1.7,0.172642762,0.119521912,0,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,0,0,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,-202,-322,4.026914194,1100100011,10.1016/S0304-8853(01)00349-3
75.3,13,0,0,9,0,0,0,1,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,623,3600,,725,845,0,0,25,13,9,0,1,1.7,0.172642762,0.119521912,0,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,0,0,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,-102,-222,3.950800344,1100100011,10.1016/S0304-8853(01)00349-3
75.3,13,0,0,9,0,0,0,1,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,673,3600,,725,845,0,0,25,13,9,0,1,1.7,0.172642762,0.119521912,0,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,0,0,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,-52,-172,3.950800344,1100100011,10.1016/S0304-8853(01)00349-3
75.3,13,0,0,9,0,0,0,1,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,748,3600,,725,845,0,0,25,13,9,0,1,1.7,0.172642762,0.119521912,0,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,0,0,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,23,-97,3.950800344,1100100011,10.1016/S0304-8853(01)00349-3
75.3,13,0,0,9,0,0,0,1,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,799,3600,,725,845,0,0,25,13,9,0,1,1.7,0.172642762,0.119521912,0,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,0,0,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,74,-46,3.950800344,1100100011,10.1016/S0304-8853(01)00349-3
75.3,13,0,0,9,0,0,0,1,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,823,3600,,725,845,0,0,25,13,9,0,1,1.7,0.172642762,0.119521912,0,0.022576361,0.013280212,1.7,7.647058824,13,5.294117647,9,0,0,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,,98,-22,3.142227094,1100100011,10.1016/S0304-8853(01)00349-3
