,Fe,Si,C,Al,B,P,Ga,Ge,Cu,Ag,Au,Zn,Ti,V,Cr,Mn,Zr,Nb,Mo,Hf,Ta,W,Ce,Pr,Gd,U,Annealing temperature (K),Annealing Time (s),Primary Crystallization Onset (K),Primary Crystallization Peak (K),Secondary Crystallization Peak (K),Longitudinal Annealing field,Transverse Annealing field,Ribbon Thickness (um),Coercivity,Curie Temp,Core Loss,Electrical Resistivity,Permeability,Magnetostriction,Magnetic Saturation,Grain Diameter,Reference DOI
14,73.5,13.5,0,0.0,9.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,1073.0,3600.0,887.0,1068.0,,0.0,0.0,30.0,1124.8,,,,,,0.64,130.5375969,https://doi.org/10.1007/s11741-000-0017-x
16,73.5,13.5,0,0.0,9.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,973.0,3600.0,887.0,1068.0,,0.0,0.0,30.0,992.8,,,,,,0.89,117.0712307,https://doi.org/10.1007/s11741-000-0017-x
17,73.5,13.5,0,0.0,9.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,923.0,3600.0,887.0,1068.0,,0.0,0.0,30.0,961.6,,,,,,1.21,92.17111001,https://doi.org/10.1007/s11741-000-0017-x
19,73.5,13.5,0,0.0,9.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,873.0,3600.0,887.0,1068.0,,0.0,0.0,30.0,520.0,,,,,,1.15,80.33853603,https://doi.org/10.1007/s11741-000-0017-x
23,75.5,10.5,0,0.0,10.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,813.0,3600.0,,,,0.0,0.0,23.0,,,,,,,1.3554,,10.4028/www.scientific.net/JMNM.1.135
24,73.5,14.5,0,0.0,8.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,813.0,3600.0,,,,0.0,0.0,23.0,,,,,,,1.24826585,,10.4028/www.scientific.net/JMNM.1.135
25,73.5,15.5,0,0.0,7.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,813.0,3600.0,,,,0.0,0.0,23.0,,,,,,,1.22815288,,10.4028/www.scientific.net/JMNM.1.135
26,72.5,16.5,0,0.0,7.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,813.0,3600.0,,,,0.0,0.0,23.0,,,,,,,1.191067941,,10.4028/www.scientific.net/JMNM.1.135
27,73.5,17.5,0,0.0,5.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,813.0,3600.0,,,,0.0,0.0,23.0,,,,,,,1.196389168,,10.4028/www.scientific.net/JMNM.1.135
28,72.5,18.5,0,0.0,5.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,813.0,3600.0,,,,0.0,0.0,23.0,,,,,,,1.157836668,,10.4028/www.scientific.net/JMNM.1.135
47,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,773.0,3600.0,,,,0.0,0.0,30.0,,,,,,18.2,1.2757,,10.1109/20.825825
48,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,793.0,3600.0,,,,0.0,0.0,30.0,,,,,,8.93,1.2837,,10.1109/20.825825
49,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,803.0,3600.0,,,,0.0,0.0,30.0,,,,,,1.0927,1.1988,,10.1109/20.825825
70,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,813.0,3600.0,,,,0.0,0.0,19.0,,,,,,2.0,1.22,,doi:10.1016/j.jmmm.2010.05.025
71,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1.5,1.5,0,0.0,0,0,0,0,0,813.0,3600.0,,,,0.0,0.0,19.0,,,,,,1.8,1.21,,doi:10.1016/j.jmmm.2010.05.025
72,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1.0,2.0,0,0.0,0,0,0,0,0,813.0,3600.0,,,,0.0,0.0,19.0,,,,,,2.6,1.21,,doi:10.1016/j.jmmm.2010.05.025
73,73.5,13.6,0,0.0,9.1,0.0,0,0.0,0.8,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,3.0,0,0.0,0,0,0,0,0,813.0,3600.0,,,,0.0,0.0,19.0,,,,,,1.8,1.24,,doi:10.1016/j.jmmm.2010.05.025
99,74.5,13.5,0,0.0,9.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,763.0,3600.0,,,,0.0,0.0,17.5,1.5,,1231.0,,10000.0,,1.28,,10.1063/1.342149
100,74.0,13.5,0,0.0,9.0,0.0,0,0.0,0.5,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,843.0,3600.0,,,,0.0,0.0,17.5,0.9788,,305.57,,53200.0,,1.2553,,10.1063/1.342149
101,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,853.0,3600.0,,,,0.0,0.0,17.5,0.5551,843.0,280.0,,100000.0,,1.2401,,10.1063/1.342149
107,73.0,13.5,0,0.0,9.0,0.0,0,0.0,1.5,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,833.0,3600.0,,,,0.0,0.0,17.5,0.6899,,314.68,,103000.0,,1.225,,10.1063/1.342149
108,73.5,16.5,0,0.0,6.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,853.0,3600.0,,,,0.0,0.0,17.5,1.1,833.0,280.0,,75000.0,,1.18,,10.1063/1.342149
246,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,823.0,3600.0,,,,1.0,0.0,18.0,0.35,,750.0,,25245.0,,1.24,,10.1109/20.42291
247,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,823.0,3600.0,,,,0.0,1.0,18.0,1.6,,246.85,,34417.5398,,1.24,,10.1109/20.42291
248,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,823.0,3600.0,,,,0.0,0.0,18.0,0.53,,246.85,,83823.6955,,1.24,,10.1109/20.42291
279,73.5,15.5,0,0.0,7.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,823.0,3600.0,,,,0.0,1.0,22.0,0.75,,338.91767999999996,,,,1.18,,10.1016/j.pnsc.2017.09.002
280,73.5,15.5,0,0.0,7.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,823.0,3600.0,,,,0.0,1.0,18.0,0.72,,331.87032,,,,1.18,,10.1016/j.pnsc.2017.09.002
281,73.5,15.5,0,0.0,7.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,823.0,3600.0,,,,0.0,1.0,14.0,0.65,,161.36568,,,,1.18,,10.1016/j.pnsc.2017.09.002
298,84.0,4.0,0,0.0,8.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,722.8510242000001,1800.0,,701.0,808.0,0.0,0.0,22.5,494.91858439999993,,,,,,1.81617,53.09553001,10.1063/1.3535290
301,83.5,4.0,0,0.0,8.0,4.0,0,0.0,0.5,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,723.0,1800.0,,675.0,810.0,0.0,0.0,22.5,4.50396255,,,,,,1.8097712,22.81966794,10.1063/1.3535290
307,83.25,4.0,0,0.0,8.0,4.0,0,0.0,0.75,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,723.1117318,1800.0,,673.0,810.0,0.0,0.0,22.5,4.595993663,,,,,,1.812788589,17.09604087,10.1063/1.3535290
310,83.0,4.0,0,0.0,8.0,4.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,723.0,1800.0,,673.0,808.0,0.0,0.0,22.5,2.32280671,,,,,,1.820885122,16.54482759,10.1063/1.3535290
316,82.75,4.0,0,0.0,8.0,4.0,0,0.0,1.25,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,723.1117318,1800.0,,671.0,810.0,0.0,0.0,22.5,2.065915434,,,,,,1.8318120999999998,15.99463602,10.1063/1.3535290
324,82.5,4.0,0,0.0,8.0,4.0,0,0.0,1.5,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,723.1117318,1800.0,,666.0,808.0,0.0,0.0,22.5,3.318182905,,,,,,1.81448211,16.06309068,10.1063/1.3535290
329,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,653.0,7200.0,,,,0.0,0.0,18.5,0.5,844.0,,,150000.0,2.1,1.23,,10.1109/TMAG.2011.2175210
332,84.3,4.0,0,0.0,8.0,3.0,0,0.0,0.7,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,747.7656728,600.0,,,,0.0,0.0,20.0,10.63843937,,,,16000.0,3.0,1.94,17.0,10.1063/1.3058624
340,83.3,4.0,0,0.0,8.0,4.0,0,0.0,0.7,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,747.7824296,600.0,,,,0.0,0.0,20.0,6.557639363,,,,25000.0,2.0,1.88,10.0,10.1063/1.3058624
343,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,772.8571429,1800.0,,,,0.0,0.0,24.0,1.72351632,,,,18202.30491,,1.148653632,,10.1016/j.jallcom.2006.08.321
344,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,792.9323307999999,1800.0,,,,0.0,0.0,24.0,0.832452139,,,,396617.2459,,1.158461345,,10.1016/j.jallcom.2006.08.321
345,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,812.7819549,1800.0,,,,0.0,0.0,24.0,0.5830991870000001,,,,500747.9393,,1.179037306,,10.1016/j.jallcom.2006.08.321
346,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,822.9323307999999,1800.0,,,,0.0,0.0,24.0,0.565374583,,,,443167.72,,1.208341728,,10.1016/j.jallcom.2006.08.321
347,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,832.8571429,1800.0,,,,0.0,0.0,24.0,2.151525222,,,,188341.3643,,1.218270857,,10.1016/j.jallcom.2006.08.321
348,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,852.9323308,1800.0,,,,0.0,0.0,24.0,7.249765854,,,,55788.10563,,1.198652732,,10.1016/j.jallcom.2006.08.321
349,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,813.0,1800.0,,,,0.0,0.0,20.0,1.196052632,,296.874236,,86518.51852,,1.25,12.5,10.1016/j.jallcom.2006.12.133
350,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,1.0,0,0,0.0,2.0,0.0,0,0.0,0,0,0,0,0,833.0,1800.0,,,,0.0,0.0,20.0,0.9,,274.8184685,,94814.81481,,1.239583333,12.00961538,10.1016/j.jallcom.2006.12.133
351,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,1.5,0,0,0.0,1.5,0.0,0,0.0,0,0,0,0,0,833.0,1800.0,,,,0.0,0.0,20.0,0.788157895,,234.9885091,,135111.1111,,1.260416667,11.0,10.1016/j.jallcom.2006.12.133
352,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,2.0,0,0,0.0,1.0,0.0,0,0.0,0,0,0,0,0,833.0,1800.0,,,,0.0,0.0,20.0,0.544736842,,197.6095301,,125629.6296,,1.2881944440000002,9.009615385,10.1016/j.jallcom.2006.12.133
360,80.6,5.0,0,0.0,13.0,0.0,0,0.0,1.4,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,664.00271,3600.0,,,,0.0,0.0,21.0,5.7,,,,,,1.8,,10.1143/JJAP.46.L477
409,73.5,15.5,0,0.0,7.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,813.15,1800.0,,824.0,999.0,0.0,0.0,20.0,1.591549431,,,,,,1.01,,10.1016/S0921-4526(02)01741-6
410,73.5,15.5,0,0.0,6.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,813.15,1800.0,,824.0,963.0,0.0,0.0,20.0,3.183098862,,,,,,0.93,,10.1016/S0921-4526(02)01741-6
411,73.5,15.5,0,0.0,5.0,2.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,813.15,1800.0,,823.0,924.0,0.0,0.0,20.0,3.0239439189999997,,,,,,0.78,,10.1016/S0921-4526(02)01741-6
412,73.5,15.5,0,0.0,4.0,3.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,813.15,1800.0,,823.0,916.0,0.0,0.0,20.0,2.785211504,,,,,,0.67,,10.1016/S0921-4526(02)01741-6
413,73.5,15.5,0,0.0,3.0,4.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,813.15,1800.0,,830.0,895.0,0.0,0.0,20.0,6.366197724,,,,,,0.69,,10.1016/S0921-4526(02)01741-6
433,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,565.0,3600.0,,769.0,905.0,0.0,0.0,20.0,0.9961289090000001,,,,,2.0,1.247222601,,10.1063/1.352574
434,73.5,13.5,0,0.1,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,565.0,3600.0,,773.0,917.0,0.0,0.0,20.0,0.860179103,,,,,,1.116364133,,10.1063/1.352574
435,73.5,13.5,0,0.5,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,565.0,3600.0,,756.0,913.0,0.0,0.0,20.0,0.773290115,,,,,,1.109703835,,10.1063/1.352574
436,73.5,13.5,0,1.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0.0,0,0.0,0,0,0,0,0,565.0,3600.0,,760.0,916.0,0.0,0.0,20.0,0.737777957,,,,,5.0,1.076620718,,10.1063/1.352574
447,72.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,2.0,0,0,0.0,1.0,1.0,0,0.0,0,0,0,0,0,813.0,1800.0,,,,0.0,0.0,,1.13,,,,,,0.82,,https://doi.org/10.1016/j.jmmm.2010.05.008
448,72.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,2.0,0,0,0.0,0.0,1.0,0,0.0,1,0,0,0,0,813.0,1800.0,,,,0.0,0.0,,0.78,,,,,,0.96,,https://doi.org/10.1016/j.jmmm.2010.05.008
449,72.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,2.0,0,0,0.0,0.0,2.0,0,0.0,0,0,0,0,0,813.0,1800.0,,,,0.0,0.0,,1.06,,,,,,0.87,,https://doi.org/10.1016/j.jmmm.2010.05.008
450,72.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,2.0,0,0,0.0,2.0,0.0,0,0.0,0,0,0,0,0,813.0,1800.0,,,,0.0,0.0,,0.56,,,,,,1.04,,https://doi.org/10.1016/j.jmmm.2010.05.008
451,81.0,4.0,0,0.0,11.0,2.0,0,0.0,1.0,0.0,0.0,0.0,0,1.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,698.0,60.0,,696.0,817.0,0.0,0.0,22.5,7.079107512,,,,,,1.6297989030000002,,https://doi.org/10.1016/j.jallcom.2014.10.202
452,81.0,4.0,0,0.0,11.0,2.0,0,0.0,1.0,0.0,0.0,0.0,0,1.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,698.0,180.0,,696.0,817.0,0.0,0.0,22.5,5.043141568999999,,,,,,1.689579525,,https://doi.org/10.1016/j.jallcom.2014.10.202
453,81.0,4.0,0,0.0,11.0,2.0,0,0.0,1.0,0.0,0.0,0.0,0,1.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,698.0,300.0,,696.0,817.0,0.0,0.0,22.5,5.626602338,,,,,,1.689579525,,https://doi.org/10.1016/j.jallcom.2014.10.202
454,81.0,4.0,0,0.0,11.0,2.0,0,0.0,1.0,0.0,0.0,0.0,0,1.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,698.0,600.0,,696.0,817.0,0.0,0.0,22.5,8.055993413,,,,,,1.7191956119999998,,https://doi.org/10.1016/j.jallcom.2014.10.202
455,81.0,4.0,0,0.0,11.0,2.0,0,0.0,1.0,0.0,0.0,0.0,0,1.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,698.0,900.0,,696.0,817.0,0.0,0.0,22.5,10.17720202,,,,,,1.7394881169999998,,https://doi.org/10.1016/j.jallcom.2014.10.202
458,81.0,4.0,0,0.0,10.0,4.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,743.0,300.0,,691.0,808.0,0.0,0.0,20.5,12.51996008,,,,,,1.7186956519999999,,https://www.nature.com/articles/s41598-018-19665-8
459,81.0,6.0,0,0.0,10.0,2.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,743.0,300.0,,693.0,809.0,0.0,0.0,20.5,20.31344324,,,,,,1.7456521740000002,,https://www.nature.com/articles/s41598-018-19665-8
460,81.0,8.0,0,0.0,10.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,743.0,300.0,,690.0,801.0,0.0,0.0,20.5,36.94831374,,,,,,1.7543478259999998,,https://www.nature.com/articles/s41598-018-19665-8
461,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2.0,1.0,0,0.0,0,0,0,0,0,847.0,3600.0,,813.0,918.0,0.0,0.0,20.5,3.456790123,,,,,,1.20414586,,https://doi.org/10.1002/pssa.201700074
462,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2.0,1.0,0,0.0,0,0,0,0,0,847.0,2700.0,,813.0,918.0,0.0,0.0,20.5,3.312757202,,,,,,1.210019161,,https://doi.org/10.1002/pssa.201700074
463,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2.0,1.0,0,0.0,0,0,0,0,0,847.0,1800.0,,813.0,918.0,0.0,0.0,20.5,2.628600823,,,,,,1.2307484579999999,,https://doi.org/10.1002/pssa.201700074
464,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2.0,1.0,0,0.0,0,0,0,0,0,847.0,900.0,,813.0,918.0,0.0,0.0,20.5,2.5565843619999997,,,,,,1.2515929190000001,,https://doi.org/10.1002/pssa.201700074
468,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1.0,2.0,0,0.0,0,0,0,0,0,838.0,900.0,,806.0,896.0,0.0,0.0,20.5,2.520576132,,,,,,1.28,,https://doi.org/10.1002/pssa.201700074
472,73.5,13.5,0,0.0,9.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,3.0,0,0.0,0,0,0,0,0,811.0,900.0,,779.0,851.0,0.0,0.0,20.5,44.54976303,,,,,,1.34,,https://doi.org/10.1002/pssa.201700074
500,81.7,4.0,0,0.0,13.0,0.0,0,0.0,1.3,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,638.0,3600.0,,695.0,799.0,0.0,0.0,20.0,138.6848386,,,,,,1.660290237,,https://www.sciencedirect.com/science/article/pii/S0925838817321278
501,81.7,4.0,0,0.0,13.0,0.0,0,0.0,1.3,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,653.0,3600.0,,695.0,799.0,0.0,0.0,20.0,398.1071706,,,,,,1.720448549,,https://www.sciencedirect.com/science/article/pii/S0925838817321278
502,81.7,4.0,0,0.0,13.0,0.0,0,0.0,1.3,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,668.0,3600.0,,695.0,799.0,0.0,0.0,20.0,382.4799691,,,,,,1.730474934,,https://www.sciencedirect.com/science/article/pii/S0925838817321278
503,81.7,4.0,0,0.0,13.0,0.0,0,0.0,1.3,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,683.0,3600.0,,695.0,799.0,0.0,0.0,20.0,372.4041335,,,,,,1.740501319,,https://www.sciencedirect.com/science/article/pii/S0925838817321278
504,81.7,4.0,0,0.0,13.0,0.0,0,0.0,1.3,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,698.0,3600.0,,695.0,799.0,0.0,0.0,20.0,372.4041335,,,,,,1.74525066,,https://www.sciencedirect.com/science/article/pii/S0925838817321278
505,81.7,4.0,0,0.0,13.0,0.0,0,0.0,1.3,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,723.0,3600.0,,695.0,799.0,0.0,0.0,20.0,372.4041335,,,,,,1.750527704,,https://www.sciencedirect.com/science/article/pii/S0925838817321278
